Label,Founding Year,Entity Type,Type,Image,Website,Twitter,Facebook,LinkedIn,Instagram,Ecosystem Level,MIT Pillars                ,Verticals                        ,Innovation Pipeline Stage                                                                        ,Stakeholder Type                                                                        ,Tags,Location,Node Size,Programs Participated In
BioManufacturing Consortium @ MIT-CBI,,"Program, Conference","Program, Conference",https://cbi.mit.edu/wp-content/uploads/2020/12/MITCBI-Logo_300x85.png,https://cbi.mit.edu/programs/biomanufacturing-at-mit-cbi/collaboration/bioman/,,,,,Massachusetts Institute of Technology,Innovation,Biotech - Pharma,Mentorship|Funding,Academia,Massachusetts Institute of Technology|Biotech - Pharma|Mentorship|Funding|Academia,"400 Main Street, Cambridge, MA 02142",2,
"Doctoral Program in History, Anthropology, Science, Technology, and Society
(HASTS)",,"Program, Conference","Program, Conference",,"
https://web.mit.edu/hasts/",,,,,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","77 Massachusetts Avenue, Cambridge, MA 02139",1,
HackMIT,2013,Student Club,Student Club,https://pbs.twimg.com/profile_images/1407181831439589376/58gbJK_N_400x400.jpg,https://hackmit.org,https://twitter.com/hackmit,https://www.facebook.com/HackMIT,https://www.linkedin.com/company/hackmit-20/,https://www.instagram.com/hackmit/,Massachusetts Institute of Technology,Innovation|Education,AI - Digital Health|Medical Devices - Med Tech,Ideation|Funding,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Ideation|Funding|Academia,"77 Massachusetts Avenue, Cambridge, MA 02139",3,
Harvard-MIT Health Sciences and Technology (HST),1970,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/357301122/Red_HST_Logo_400x400.jpg,https://hst.mit.edu,https://twitter.com/mit_hst,https://www.facebook.com/groups/2418196159/,,,Massachusetts Institute of Technology,Innovation|Education|Research,AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma,Ideation|Customer Discovery|Prototype Development|Testing & Validation|Mentorship,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Ideation|Customer Discovery|Prototype Development|Testing & Validation|Mentorship|Academia,"45 Carleton Street, Cambridge, MA 02142",3,
Healthcare Sector Practice Leader,,Person,Person,https://pbs.twimg.com/profile_images/1422946036293640193/uXrBXkYt_400x400.jpg,https://entrepreneurship.mit.edu/sector-practice-leaders/,https://twitter.com/EshipMIT,https://www.facebook.com/EshipMIT,https://www.linkedin.com/company/martin-trust-center-for-mit-entrepreneurship/,https://www.instagram.com/eshipmit/,Massachusetts Institute of Technology,,,Mentorship,Academia,Massachusetts Institute of Technology|Mentorship|Academia,"One Amherst Street, Cambridge, MA 02142",2,
J-PAL Global and J-PAL North America (health and poverty alleviation),,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/688004656837046273/QU1YOGbi_400x400.png,povertyactionlab.org/sector/health,https://twitter.com/jpal,https://www.facebook.com/JPAL.Global,https://www.linkedin.com/company/j-pal/,,Massachusetts Institute of Technology,,,,Academia,Massachusetts Institute of Technology|Academia,"400 Main Street, Cambridge, MA 02142
USA",2,
Jameel Clinic - AI & Healthcare at MIT,2018,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/1196529749608353792/sD5z6fY__400x400.jpg,https://www.jclinic.mit.edu,https://twitter.com/AIHealthMIT,https://www.linkedin.com/company/52133146,https://www.linkedin.com/company/aihealthmit/,,Massachusetts Institute of Technology,Innovation|Education|Research,AI - Digital Health,Ideation|Customer Discovery|Prototype Development|Testing & Validation|Mentorship|Funding,Academia,Massachusetts Institute of Technology|AI - Digital Health|Ideation|Customer Discovery|Prototype Development|Testing & Validation|Mentorship|Funding|Academia,"77 Massachusetts Avenue, Cambridge, MA 02139",3,
Lemelson-MIT Program,1994,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1361162271/twitterl_400x400.png,https://lemelson.mit.edu,https://twitter.com/LemelsonMIT,https://www.facebook.com/LemelsonMITProgram,https://www.linkedin.com/company/40829030,https://www.instagram.com/lemelsonmit/,Massachusetts Institute of Technology,Innovation|Research,,Funding,Academia,Massachusetts Institute of Technology|Funding|Academia,"222 Third Street, Cambridge, MA 02142",3,
Martin Trust Center for Entrepreneurship at MIT,1990,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/1422946036293640193/uXrBXkYt_400x400.jpg,https://entrepreneurship.mit.edu/,https://twitter.com/EshipMIT,https://www.facebook.com/EshipMIT,https://www.linkedin.com/company/martin-trust-center-for-mit-entrepreneurship/,https://www.instagram.com/eshipmit/,Massachusetts Institute of Technology,Innovation|Education|Research,AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems,Ideation|Customer Discovery|Prototype Development|Testing & Validation|Pilot Testing|Incubation|Scaling & Commercialization|Acceleration|Mentorship|Funding,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems|Ideation|Customer Discovery|Prototype Development|Testing & Validation|Pilot Testing|Incubation|Scaling & Commercialization|Acceleration|Mentorship|Funding|Academia,"One Amherst Street, Cambridge, MA 02142",3,
Massachusetts Institute of Technology,1861,"University, Company, Institution","University, Company, Institution",https://pbs.twimg.com/profile_images/927969888672632838/CZxYHc74_400x400.jpg,https://web.mit.edu,https://twitter.com/mit,https://www.facebook.com/MITnews,https://www.linkedin.com/school/mit/,https://www.instagram.com/mitpics/,Massachusetts Institute of Technology,,,,Academia,Massachusetts Institute of Technology|Academia,"77 Massachusetts Avenue, Cambridge, MA 02139",10,
